frame,class,id,x_center,y_center,x,y,w,h
143,truck,14,142.16876,398.17584,132.47726,387.9867,19.38301,20.378265
144,car,1,191.35175,664.8642,1.2993947,563.89655,380.1047,201.9353
144,truck,2,174.69275,407.7689,151.11006,381.7238,47.16539,52.09021
144,truck,14,141.8431,398.22867,132.22183,387.82727,19.242523,20.802795
144,truck,14,141.75021,398.3304,131.97334,388.0476,19.553741,20.565613
145,car,1,191.30779,664.53467,0.6155661,563.15436,381.38443,202.76062
145,truck,2,174.66653,407.91168,151.11139,381.83545,47.110275,52.152466
146,car,1,191.33975,665.2764,0.67949784,563.9133,381.3205,202.7262
146,truck,2,174.35837,408.02036,150.69276,381.80103,47.331192,52.43866
146,truck,14,140.55153,398.2312,130.47166,387.38785,20.159729,21.686707
147,car,1,191.0,607.0293,0.0,448.24182,382.0,317.5749
147,truck,2,174.13803,408.18756,150.37067,381.82947,47.53473,52.716187
147,truck,14,140.17278,398.74335,130.21307,388.1078,19.919403,21.271118
148,car,1,191.0,637.2019,0.0,508.6303,382.0,257.14313
148,truck,2,173.87402,408.01593,149.94246,381.46646,47.86313,53.098938
148,truck,14,139.72775,398.25073,129.40163,387.2309,20.652267,22.039703
149,car,1,191.0,654.7456,0.0,544.696,382.0,220.09918
149,truck,2,173.83055,408.07227,149.6475,381.20636,48.36609,53.73181
149,truck,14,139.44177,397.96405,128.90297,386.7099,21.07759,22.508331
150,car,1,191.37756,661.0372,1.363347,557.07654,380.02844,207.92126
150,truck,2,173.62137,408.00494,149.31213,381.02484,48.618484,53.960236
150,truck,14,138.96774,397.75735,128.53494,386.64612,20.865585,22.222473
150,truck,2,173.62463,408.0287,149.60463,380.93253,48.039993,54.192352
151,car,1,191.38214,662.76624,3.4781926,560.26697,375.8079,204.9986
151,truck,2,173.42732,407.7469,148.88588,380.53555,49.082886,54.42267
151,truck,14,138.62607,397.55405,128.02623,386.22803,21.199677,22.652039
151,truck,2,173.39284,407.84827,149.20903,380.5802,48.367615,54.536133
152,car,1,191.37436,663.01843,4.8818755,561.6369,372.98495,202.76312
152,truck,2,173.29,407.24384,148.50772,379.76483,49.564545,54.958008
152,truck,14,138.17642,397.52103,127.452896,385.96362,21.447052,23.114807
152,truck,2,173.22763,407.23145,148.83517,379.74127,48.784897,54.980377
153,car,1,191.38814,663.18835,5.0188036,562.1698,372.73868,202.03711
153,truck,14,137.39793,396.938,126.94082,385.55606,20.914238,22.763855
154,car,1,191.37025,662.96716,4.7795672,562.09125,373.18137,201.75183
154,truck,14,136.91835,397.0747,126.42187,385.54932,20.992973,23.050812
154,truck,2,172.59055,407.22858,147.41353,379.28116,50.354034,55.894867
155,car,1,191.3531,663.20087,4.5386653,562.4505,373.62888,201.50073
155,truck,14,135.65082,397.72852,124.92804,385.83423,21.445572,23.788544
155,truck,2,172.00241,408.0621,146.70474,379.93533,50.595337,56.25354
156,car,1,191.37527,663.6233,4.04673,562.80054,374.6571,201.64551
156,truck,14,134.81316,398.27832,124.13653,386.34808,21.353264,23.860504
156,truck,2,171.62067,408.61148,146.10666,380.19675,51.02803,56.829468
157,car,1,191.30238,664.61914,5.4948835,564.9729,371.615,199.29248
157,truck,14,133.88747,398.64038,123.257965,386.63174,21.259003,24.017273
157,truck,2,171.28299,409.04886,145.7256,380.5387,51.114777,57.020325
158,car,1,191.25275,664.1596,4.142237,563.98505,374.221,200.34912
158,truck,14,133.17245,398.8769,122.50503,386.6995,21.334862,24.354767
158,truck,2,170.95471,409.20215,145.24619,380.48822,51.41707,57.427887
159,car,1,191.3454,664.4319,3.4699833,563.9996,375.75082,200.86469
159,truck,14,132.04309,398.63684,121.329216,386.30826,21.427757,24.657166
159,truck,2,170.53383,408.96143,144.77852,380.1722,51.51062,57.5784
160,car,1,191.339,663.9938,2.5205011,563.14594,377.637,201.69562
160,truck,14,131.3724,398.5011,120.6968,386.15268,21.351204,24.696838
160,truck,2,169.83673,408.58258,143.82816,379.49838,52.01715,58.168365
161,car,1,191.37898,664.609,3.4104111,564.41034,375.93713,200.39734
161,truck,14,130.69681,398.11786,120.06058,385.7258,21.272446,24.78415
161,truck,2,169.48865,408.2577,143.40749,379.0776,52.162323,58.360138
162,car,1,191.39334,664.8644,3.474585,564.8588,375.83752,200.01117
162,truck,14,130.46417,397.97067,119.887314,385.5664,21.153717,24.808533
162,truck,2,169.36617,408.13245,143.26584,378.9174,52.200653,58.430084
163,car,1,191.40196,665.01294,3.2665074,565.0347,376.2709,199.95642
163,truck,14,130.40063,397.9144,119.88584,385.5089,21.02958,24.810974
163,truck,2,169.3331,408.084,143.23518,378.85956,52.195816,58.448914
164,car,1,191.40143,664.2828,1.9957342,563.66016,378.8114,201.24524
164,truck,14,129.93518,396.138,119.374725,383.66544,21.120895,24.94516
